flower_id,name_ko,name_en,scientific_name,is_main_candidate,focal,filler,line,foliage,airy,color_palette_primary,color_palette_alt,warm_cool,saturation,color_direction,bloom_size_cm,stem_length_cm,price_tier,vase_life_days,season_peak,availability_level,scent_strength,toxicity_pets,symbolism,mood_fit,occasions_fit,image_ref
11,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,1,0,0,1,노랑,"기쁨, 행복",,,,,,중급,,"봄, 여름",,,,"순수, 진실, 신뢰, 평화","차분한, 순수한, 깔끔한, 모던한","사과, 화해, 감사, 축하",Marguerite Daisy_노랑.jpg
12,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,1,0,0,1,연보라,"우아함, 신비",,,,,,중급,,"봄, 여름",,,,"순수, 진실, 신뢰, 평화","차분한, 순수한, 깔끔한, 모던한","사과, 화해, 감사, 축하",Marguerite Daisy_연보라.jpg
13,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,1,0,0,1,진분홍,"사랑, 감사",,,,,,중급,,"봄, 여름",,,,"순수, 진실, 신뢰, 평화","차분한, 순수한, 깔끔한, 모던한","사과, 화해, 감사, 축하",Marguerite Daisy_진분홍.jpg
14,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,블루,"진심, 신뢰",,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_블루.jpg
15,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_핑크.jpg
16,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,화이트,"순수, 진실",,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_화이트.jpg
17,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,퍼플,"신비, 우아함",,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_퍼플.jpg
18,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,라임그린,"희망, 새로운 시작",,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_라임그린.jpg
19,수국,Hydrangea,Hydrangea macrophylla,1,1,0,0,0,0,다색(그라데이션),,,,,,,고급,,"여름, 가을",,,,"진심, 감사, 이해, 화해","차분한, 진지한, 따뜻한, 우아한","감사, 사과, 화해, 축하",Hydrangea_다색(그라데이션).jpg
20,스토크,Stock Flower,Matthiola incana,1,0,0,1,0,0,퍼플,"영원한 사랑, 신비",,,,,,중급,,"봄, 여름",,,,"영원한 사랑, 충성, 진실, 아름다움","로맨틱한, 우아한, 고급스러운, 진지한","연인, 결혼, 축하, 감사",Stock Flower_퍼플.jpg
21,스토크,Stock Flower,Matthiola incana,1,0,0,1,0,0,연보라,"우아함, 로맨스",,,,,,중급,,"봄, 여름",,,,"영원한 사랑, 충성, 진실, 아름다움","로맨틱한, 우아한, 고급스러운, 진지한","연인, 결혼, 축하, 감사",Stock Flower_연보라.jpg
22,스토크,Stock Flower,Matthiola incana,1,0,0,1,0,0,핑크,"사랑, 감사",,,,,,중급,,"봄, 여름",,,,"영원한 사랑, 충성, 진실, 아름다움","로맨틱한, 우아한, 고급스러운, 진지한","연인, 결혼, 축하, 감사",Stock Flower_핑크.jpg
23,스토크,Stock Flower,Matthiola incana,1,0,0,1,0,0,화이트,"순수, 진실",,,,,,중급,,"봄, 여름",,,,"영원한 사랑, 충성, 진실, 아름다움","로맨틱한, 우아한, 고급스러운, 진지한","연인, 결혼, 축하, 감사",Stock Flower_화이트.jpg
24,스토크,Stock Flower,Matthiola incana,1,0,0,1,0,0,옐로우,"기쁨, 행복",,,,,,중급,,"봄, 여름",,,,"영원한 사랑, 충성, 진실, 아름다움","로맨틱한, 우아한, 고급스러운, 진지한","연인, 결혼, 축하, 감사",Stock Flower_옐로우.jpg
25,백합,Lily,Lilium spp.,1,1,0,0,0,0,화이트,"순결, 아름다움",,,,,,고급,,여름,,,,"순결, 아름다움, 존경, 영원한 사랑","우아한, 고급스러운, 진지한, 로맨틱한","결혼, 축하, 감사, 존경",Lily_화이트.jpg
26,백합,Lily,Lilium spp.,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,고급,,여름,,,,"순결, 아름다움, 존경, 영원한 사랑","우아한, 고급스러운, 진지한, 로맨틱한","결혼, 축하, 감사, 존경",Lily_핑크.jpg
27,백합,Lily,Lilium spp.,1,1,0,0,0,0,오렌지,"열정, 에너지",,,,,,고급,,여름,,,,"순결, 아름다움, 존경, 영원한 사랑","우아한, 고급스러운, 진지한, 로맨틱한","결혼, 축하, 감사, 존경",Lily_오렌지.jpg
28,백합,Lily,Lilium spp.,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,고급,,여름,,,,"순결, 아름다움, 존경, 영원한 사랑","우아한, 고급스러운, 진지한, 로맨틱한","결혼, 축하, 감사, 존경",Lily_옐로우.jpg
29,백합,Lily,Lilium spp.,1,1,0,0,0,0,레드,"사랑, 열정",,,,,,고급,,여름,,,,"순결, 아름다움, 존경, 영원한 사랑","우아한, 고급스러운, 진지한, 로맨틱한","결혼, 축하, 감사, 존경",Lily_레드.jpg
30,장미,Rose,Rosa hybrida,1,1,0,0,0,0,레드,"진정한 사랑, 열정",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_레드.jpg
31,장미,Rose,Rosa hybrida,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_핑크.jpg
32,장미,Rose,Rosa hybrida,1,1,0,0,0,0,화이트,"순결, 진심",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_화이트.jpg
33,장미,Rose,Rosa hybrida,1,1,0,0,0,0,옐로우,"기쁨, 우정",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_옐로우.jpg
34,장미,Rose,Rosa hybrida,1,1,0,0,0,0,오렌지,"열정, 에너지",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_오렌지.jpg
35,장미,Rose,Rosa hybrida,1,1,0,0,0,0,퍼플,"신비, 로맨스",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_퍼플.jpg
36,장미,Rose,Rosa hybrida,1,1,0,0,0,0,블루,불가능한 사랑,,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_블루.jpg
37,장미,Rose,Rosa hybrida,1,1,0,0,0,0,블랙,"신비, 우아함",,,,,,고급,,"봄, 여름, 가을",,,,"사랑, 열정, 아름다움, 로맨스","로맨틱한, 고급스러운, 열정적인, 우아한","연인, 고백, 결혼, 축하",Rose_블랙.jpg
38,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,핑크,"수줍은 사랑, 감사",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_핑크.jpg
39,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,레드,"사랑, 열정",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_레드.jpg
40,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,화이트,"순결, 아름다움",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_화이트.jpg
41,작약,Garden Peony,Paeonia lactiflora,1,1,0,0,0,0,옅은 옐로우,"우정, 기쁨",,,,,,고급,,"봄, 여름",,,,"수줍음, 아름다움, 우아함, 부끄러움","우아한, 세련된, 로맨틱한, 고급스러운","연인, 고백, 축하, 감사",Garden Peony_옅은 옐로우.jpg
42,천일홍,Globe Amaranth,Gomphrena globosa,1,0,1,0,0,0,퍼플,"신비, 영원한 사랑",,,,,,중급,,"여름, 가을",,,,"불변의 사랑, 영원함, 신비, 아름다움","신비로운, 우아한, 고급스러운, 로맨틱한","연인, 축하, 감사, 결혼",Globe Amaranth_퍼플.jpg
43,천일홍,Globe Amaranth,Gomphrena globosa,1,0,1,0,0,0,핑크,"사랑, 감사",,,,,,중급,,"여름, 가을",,,,"불변의 사랑, 영원함, 신비, 아름다움","신비로운, 우아한, 고급스러운, 로맨틱한","연인, 축하, 감사, 결혼",Globe Amaranth_핑크.jpg
44,천일홍,Globe Amaranth,Gomphrena globosa,1,0,1,0,0,0,화이트,"순결, 진실",,,,,,중급,,"여름, 가을",,,,"불변의 사랑, 영원함, 신비, 아름다움","신비로운, 우아한, 고급스러운, 로맨틱한","연인, 축하, 감사, 결혼",Globe Amaranth_화이트.jpg
45,천일홍,Globe Amaranth,Gomphrena globosa,1,0,1,0,0,0,레드,"사랑, 열정",,,,,,중급,,"여름, 가을",,,,"불변의 사랑, 영원함, 신비, 아름다움","신비로운, 우아한, 고급스러운, 로맨틱한","연인, 축하, 감사, 결혼",Globe Amaranth_레드.jpg
46,골든볼,Drumstick Flower,Craspedia globosa,1,0,0,1,0,0,옐로우,"행운, 성공",,,,,,중급,,"여름, 가을",,,,"행운, 성공, 긍정적 에너지, 희망","밝은, 경쾌한, 활기찬, 모던한","축하, 성공, 취업, 승진",Drumstick Flower_옐로우.jpg
47,골든볼,Drumstick Flower,Craspedia globosa,1,0,0,1,0,0,연옐로우,"행운, 성공",,,,,,중급,,"여름, 가을",,,,"행운, 성공, 긍정적 에너지, 희망","밝은, 경쾌한, 활기찬, 모던한","축하, 성공, 취업, 승진",Drumstick Flower_연옐로우.jpg
48,부바르디아,Bouvardia,Bouvardia spp.,1,0,1,0,0,0,화이트,"순결, 진심",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 로맨틱한","연인, 축하, 감사, 생일",Bouvardia_화이트.jpg
49,부바르디아,Bouvardia,Bouvardia spp.,1,0,1,0,0,0,핑크,"사랑, 감사",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 로맨틱한","연인, 축하, 감사, 생일",Bouvardia_핑크.jpg
50,부바르디아,Bouvardia,Bouvardia spp.,1,0,1,0,0,0,레드,"열정, 사랑",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 로맨틱한","연인, 축하, 감사, 생일",Bouvardia_레드.jpg
51,스카비오사,Scabiosa,Scabiosa spp.,1,0,1,0,0,0,블루,"신비, 우아함",,,,,,중급,,"여름, 가을",,,,"사랑, 아름다움, 우아함, 신비","우아한, 신비로운, 로맨틱한, 고급스러운","연인, 축하, 감사, 결혼",Scabiosa_블루.jpg
52,스카비오사,Scabiosa,Scabiosa spp.,1,0,1,0,0,0,퍼플,"로맨스, 신비",,,,,,중급,,"여름, 가을",,,,"사랑, 아름다움, 우아함, 신비","우아한, 신비로운, 로맨틱한, 고급스러운","연인, 축하, 감사, 결혼",Scabiosa_퍼플.jpg
53,스카비오사,Scabiosa,Scabiosa spp.,1,0,1,0,0,0,핑크,"사랑, 감사",,,,,,중급,,"여름, 가을",,,,"사랑, 아름다움, 우아함, 신비","우아한, 신비로운, 로맨틱한, 고급스러운","연인, 축하, 감사, 결혼",Scabiosa_핑크.jpg
54,스카비오사,Scabiosa,Scabiosa spp.,1,0,1,0,0,0,화이트,"순결, 아름다움",,,,,,중급,,"여름, 가을",,,,"사랑, 아름다움, 우아함, 신비","우아한, 신비로운, 로맨틱한, 고급스러운","연인, 축하, 감사, 결혼",Scabiosa_화이트.jpg
55,리시안셔스,Lisianthus,Eustoma grandiflorum,1,1,0,0,0,0,화이트,"진심, 감사",,,,,,고급,,"여름, 가을",,,,"감사, 진심, 아름다움, 우아함","우아한, 세련된, 고급스러운, 진지한","감사, 축하, 결혼, 존경",Lisianthus_화이트.jpg
56,리시안셔스,Lisianthus,Eustoma grandiflorum,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,고급,,"여름, 가을",,,,"감사, 진심, 아름다움, 우아함","우아한, 세련된, 고급스러운, 진지한","감사, 축하, 결혼, 존경",Lisianthus_핑크.jpg
57,리시안셔스,Lisianthus,Eustoma grandiflorum,1,1,0,0,0,0,라벤더,"우아함, 신비",,,,,,고급,,"여름, 가을",,,,"감사, 진심, 아름다움, 우아함","우아한, 세련된, 고급스러운, 진지한","감사, 축하, 결혼, 존경",Lisianthus_라벤더.jpg
58,리시안셔스,Lisianthus,Eustoma grandiflorum,1,1,0,0,0,0,퍼플,"신비, 로맨스",,,,,,고급,,"여름, 가을",,,,"감사, 진심, 아름다움, 우아함","우아한, 세련된, 고급스러운, 진지한","감사, 축하, 결혼, 존경",Lisianthus_퍼플.jpg
59,리시안셔스,Lisianthus,Eustoma grandiflorum,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,고급,,"여름, 가을",,,,"감사, 진심, 아름다움, 우아함","우아한, 세련된, 고급스러운, 진지한","감사, 축하, 결혼, 존경",Lisianthus_옐로우.jpg
60,맨드라미,Cockscomb,Celosia cristata,1,0,1,0,0,0,레드,"열정, 사랑",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 화려한","축하, 생일, 감사, 연인",Cockscomb_레드.jpg
61,맨드라미,Cockscomb,Celosia cristata,1,0,1,0,0,0,핑크,"사랑, 감사",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 화려한","축하, 생일, 감사, 연인",Cockscomb_핑크.jpg
62,맨드라미,Cockscomb,Celosia cristata,1,0,1,0,0,0,옐로우,"기쁨, 행복",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 화려한","축하, 생일, 감사, 연인",Cockscomb_옐로우.jpg
63,맨드라미,Cockscomb,Celosia cristata,1,0,1,0,0,0,오렌지,"에너지, 활력",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 화려한","축하, 생일, 감사, 연인",Cockscomb_오렌지.jpg
64,맨드라미,Cockscomb,Celosia cristata,1,0,1,0,0,0,화이트,"순결, 진심",,,,,,중급,,"여름, 가을",,,,"열정, 에너지, 활력, 사랑","열정적인, 활기찬, 밝은, 화려한","축하, 생일, 감사, 연인",Cockscomb_화이트.jpg
65,다알리아,Dahlia,Dahlia pinnata,1,1,0,0,0,0,레드,"사랑, 열정",,,,,,고급,,"여름, 가을",,,,"아름다움, 우아함, 고급스러움, 감사","우아한, 고급스러운, 세련된, 로맨틱한","축하, 감사, 결혼, 존경",Dahlia_레드.jpg
66,다알리아,Dahlia,Dahlia pinnata,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,고급,,"여름, 가을",,,,"아름다움, 우아함, 고급스러움, 감사","우아한, 고급스러운, 세련된, 로맨틱한","축하, 감사, 결혼, 존경",Dahlia_핑크.jpg
67,다알리아,Dahlia,Dahlia pinnata,1,1,0,0,0,0,화이트,"순결, 아름다움",,,,,,고급,,"여름, 가을",,,,"아름다움, 우아함, 고급스러움, 감사","우아한, 고급스러운, 세련된, 로맨틱한","축하, 감사, 결혼, 존경",Dahlia_화이트.jpg
68,다알리아,Dahlia,Dahlia pinnata,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,고급,,"여름, 가을",,,,"아름다움, 우아함, 고급스러움, 감사","우아한, 고급스러운, 세련된, 로맨틱한","축하, 감사, 결혼, 존경",Dahlia_옐로우.jpg
69,다알리아,Dahlia,Dahlia pinnata,1,1,0,0,0,0,퍼플,"신비, 우아함",,,,,,고급,,"여름, 가을",,,,"아름다움, 우아함, 고급스러움, 감사","우아한, 고급스러운, 세련된, 로맨틱한","축하, 감사, 결혼, 존경",Dahlia_퍼플.jpg
70,목화,Cotton Plant,Gossypium herbaceum,1,0,0,0,1,0,화이트,"순결, 자연스러움",,,,,,중급,,"가을, 겨울",,,,"따뜻함, 편안함, 자연스러움, 포근함","따뜻한, 편안한, 자연스러운, 포근한","가족, 감사, 축하, 집들이",Cotton Plant_화이트.jpg
71,목화,Cotton Plant,Gossypium herbaceum,1,0,0,0,1,0,브라운(씨방),"따뜻함, 자연스러움",,,,,,중급,,"가을, 겨울",,,,"따뜻함, 편안함, 자연스러움, 포근함","따뜻한, 편안한, 자연스러운, 포근한","가족, 감사, 축하, 집들이",Cotton Plant_브라운(씨방).jpg
72,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,레드,"완벽한 사랑, 열정",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_레드.jpg
73,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,핑크,"사랑, 감사",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_핑크.jpg
74,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,옐로우,"기쁨, 행복",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_옐로우.jpg
75,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,화이트,"순결, 새로운 시작",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_화이트.jpg
76,튤립,Tulip,Tulipa gesneriana,1,1,0,0,0,0,퍼플,"신비, 로맨스",,,,,,중급,,봄,,,,"완벽한 사랑, 봄, 새로운 시작, 희망","신선한, 밝은, 경쾌한, 로맨틱한","연인, 고백, 축하, 새로운 시작",Tulip_퍼플.jpg
